,PRODUCT_NAME,PRODUCT_LINK,MRP,PRICE,DISCOUNT,DESCRIPTION,PRODUCT_RATING
20,"Fresh Up Luna Kids Wooden Study Table/Office Desk/Laptop, Computer Table 48x 23x30.5 in Engineered Wood Study Table  (Free Standing, Finish Color - Walnut Brown, Knock Down)",https://www.flipkart.com/fresh-up-luna-kids-wooden-study-table-office-desk-laptop-computer-table-48x-23x30-5-engineered-wood/p/itm79d3e9aab5f5c?pid=OSTGGP3YGFZ8NUZU&lid=LSTOSTGGP3YGFZ8NUZU1RULI2&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_21&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRnh3QMZ7hoj4IF0xUK6XvkfgzY7tly2mjzG5TqFBS8ECw%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"13,299","5,851",56% off,Material: Particle Board| Configuration: Straight| Height x Width: 77.4 cm x 121.9 cm (2 ft 6 in x 3 ft 11 in)| Storage Included| Knock Down - Delivered in non-assembled pieces| installation by service partner,4.6
21,"Crystal Furnitech Torian Engineered Wood Dressing Table  (Finish Color - , wallnut, Knock Down)",https://www.flipkart.com/crystal-furnitech-torian-engineered-wood-dressing-table/p/itmf04b0307cdd00?pid=DTBEXNY7YXNSGCTD&lid=LSTDTBEXNY7YXNSGCTD3R0QRR&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_22&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRnZGlnOt8zdFUi-EriioLUAgUOrugTqGQZ5CKrpV5qyuA%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"13,618","8,999",33% off,Storage Included| W x H x D: 60 cm x 181.5 cm x 50 cm (1 ft 11 in x 5 ft 11 in x 1 ft 7 in)| Mirror W x H: 300 mm x 1220 mm| Finish Type: Polished | Finish Color: wallnut| Knock Down - Delivered in non-assembled pieces| installation by service partner,4.5
22,"PEDPIX Wooden Tea table|Teapoy|Tea Table|DIY Wooden Table Engineered Wood Coffee Table  (Finish Color - BLACK, DIY(Do-It-Yourself))",https://www.flipkart.com/pedpix-wooden-tea-table-teapoy-tea-table-diy-table-engineered-wood-coffee/p/itm638db6aba3cbf?pid=CFTGFS2ATHWTZXGM&lid=LSTCFTGFS2ATHWTZXGMJ8NQSU&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_23&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.CFTGFS2ATHWTZXGM.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"4,999","2,797",44% off,MDF| Engineered Wood| W x H x D: 83 cm x 43.18 cm x 40.64 cm (2 ft 8 in x 1 ft 5 in x 1 ft 3 in)| DIY - Basic assembly to be done with simple tools by the customer| comes with instructions.,3.8
23,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study Table  (Finish Color - black, DIY(Do-It-Yourself))",https://www.flipkart.com/krishna-creation-laptop-table-1004-wood-portable-finish-color-black-pre-assembled-solid-study/p/itmb282cc01a575a?pid=KDTG6B2QJPCBMQSY&lid=LSTKDTG6B2QJPCBMQSYG8KKZR&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_24&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.KDTG6B2QJPCBMQSY.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"1,299",460,64% off,Shape: Round| W x H x D: 1.5 cm x 13 cm x 15 cm (5 in x 5 in)| Adjustable Height| Foldable| DIY - Basic assembly to be done with simple tools by the customer| comes with instructions.,4
24,"limraz furniture L 56 Engineered Wood Study Table  (Free Standing, Finish Color - brown, Pre-assembled)",https://www.flipkart.com/limraz-furniture-l-56-engineered-wood-study-table/p/itm73b71d8d7e112?pid=OSTFSDETE33UVMTT&lid=LSTOSTFSDETE33UVMTTEKC184&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_25&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.OSTFSDETE33UVMTT.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"2,799","1,306",53% off,Material: MDF| Configuration: Straight| Height x Width: 73.6 cm x 91.4 cm (2 ft 4 in x 2 ft 11 in)| Pre Assembled (Ready to Use),4.2
25,"M N ENTERPRISE Solid Wood Study Table  (Free Standing, Finish Color - Grey, Pre-assembled)",https://www.flipkart.com/m-n-enterprise-solid-wood-study-table/p/itm2cef2dd67d926?pid=OSTG3GKEKAV7GCQC&lid=LSTOSTG3GKEKAV7GCQCKUJC4C&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_26&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.OSTG3GKEKAV7GCQC.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,900,788,12% off,Material: Plywood| Configuration: Straight| Height x Width: 40 cm x 60 cm (1 ft 3 in x 1 ft 11 in)| Storage Included| Pre Assembled (Ready to Use),3.7
26,"Crystal Furnitech Dimora Engineered Wood Dressing Table  (Finish Color - , Brown, Knock Down)",https://www.flipkart.com/crystal-furnitech-dimora-engineered-wood-dressing-table/p/itm5bc27ca5b8b17?pid=DTBG4DMNYJQPRPUZ&lid=LSTDTBG4DMNYJQPRPUZ3EHBLE&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_27&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRl1luEn1p6tMNiIZigsFAkD73ZY7HMNabJMgAo6c_A0TQ%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"27,280","10,499",61% off,Storage Included| W x H x D: 70 cm x 181 cm x 40 cm (2 ft 3 in x 5 ft 11 in x 1 ft 3 in)| Mirror W x H: 445 mm x 1245 mm| Finish Type: Matte | Finish Color: Brown| Knock Down - Delivered in non-assembled pieces| installation by service partner,3.9
27,"NEUDOT SMASH Engineered Wood Coffee Table  (Finish Color - WENGE, Knock Down)",https://www.flipkart.com/neudot-smash-engineered-wood-coffee-table/p/itm246d4e3ad5d5a?pid=CFTGH5FUHTWGGRVZ&lid=LSTCFTGH5FUHTWGGRVZKIHYRU&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_28&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRnEReiVD8wZ0feJ5aTWb2EzjdLWTMNav3TMtATNghKcGw%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"9,000","2,849",68% off,Particle Board| Engineered Wood| W x H x D: 88.9 cm x 48.2 cm x 45.7 cm (2 ft 10 in x 1 ft 6 in x 1 ft 5 in)| Storage Included| Knock Down - Delivered in non-assembled pieces| installation by service partner,4.4
28,"DEVAL ENTERPRISE Multi-Purpose Laptop Desk for Study and Reading with Foldable Non-Slip Legs Solid Wood Study Table  (Free Standing, Finish Color - Pink, Pre-assembled)",https://www.flipkart.com/deval-enterprise-multi-purpose-laptop-desk-study-reading-foldable-non-slip-legs-solid-wood-table/p/itma68ebca334b93?pid=OSTGGZ3NF8CBZKSV&lid=LSTOSTGGZ3NF8CBZKSVTLDY5Y&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_29&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.OSTGGZ3NF8CBZKSV.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"1,029",999,2% off,Material: Plywood| Configuration: Straight| Height x Width: 28 cm x 60 cm (11 in x 1 ft 11 in)| Pre Assembled (Ready to Use),3.6
29,"furlay Engineered Wood Study Table  (Free Standing, Finish Color - Black, Walnut Shelf, DIY(Do-It-Yourself))",https://www.flipkart.com/furlay-engineered-wood-study-table/p/itm7437a4776470d?pid=OSTGAUVQ2JTPTKUQ&lid=LSTOSTGAUVQ2JTPTKUQJUV1OY&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_30&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.OSTGAUVQ2JTPTKUQ.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"6,999","3,499",50% off,Material: Particle Board| Configuration: Straight| Height x Width: 75 cm x 100 cm (2 ft 5 in x 3 ft 3 in)| DIY - Basic assembly to be done with simple tools by the customer| comes with instructions.,4.4
30,"@Home by nilkamal Dalton Engineered Wood Study Table  (Free Standing, Finish Color - Teak, Knock Down)",https://www.flipkart.com/home-nilkamal-dalton-engineered-wood-study-table/p/itmf7df5553ce7be?pid=OSTFU77EGDHQSRQ6&lid=LSTOSTFU77EGDHQSRQ6MXPNX8&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_31&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRn_SlUttCSvt_fXzftD3QEjXcXI-3Gcyf7zk9T6Y8dZpw%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"7,900","5,449",31% off,Material: MDF| Configuration: Straight| Height x Width: 120 cm x 52 cm (3 ft 11 in x 1 ft 8 in)| Storage Included| Knock Down - Delivered in non-assembled pieces| installation by service partner,4.5
